Midi callback drift: -23µs
Message time diff: 3.4228ms
Message time diff: 2.4228ms
Midi callback drift: -655µs
Message time diff: 1.4228ms
Message time diff: 1.4228ms
Message time diff: -577.2µs
Message time diff: -577.2µs
Message time diff: -1.5772ms
Midi callback drift: -693µs
window: 10ms, time: 2.6549ms, drift: -3.8336ms
Midi callback drift: -406µs
Message time diff: 6.4228ms
window: 10ms, time: 887.7µs, drift: -2.1267ms
window: 10ms, time: 251.7µs, drift: -1.5389ms
window: 10ms, time: 304.5µs, drift: -2.2427ms
window: 10ms, time: 368.3µs, drift: -2.3062ms
window: 10ms, time: 269.7µs, drift: -2.006ms
window: 10ms, time: 329.1µs, drift: -2.1328ms
window: 10ms, time: 277µs, drift: -1.7105ms
window: 10ms, time: 411.6µs, drift: -2.0542ms
window: 10ms, time: 373.5µs, drift: -1.8188ms
window: 10ms, time: 383.6µs, drift: -1.8849ms
window: 10ms, time: 310.8µs, drift: -1.6316ms
Midi callback drift: -774µs
Midi callback drift: -1.547ms
Midi callback drift: -1.273ms
Message time diff: 3.4228ms
Message time diff: 3.4228ms
Message time diff: 2.4228ms
window: 10ms, time: 1.3565ms, drift: -2.7566ms
window: 10ms, time: 526.5µs, drift: -2.1742ms
window: 10ms, time: 401.8µs, drift: -2.0634ms
window: 10ms, time: 332.9µs, drift: -1.6588ms
window: 10ms, time: 330.8µs, drift: -1.9715ms
window: 10ms, time: 332µs, drift: -1.6124ms
window: 10ms, time: 361.9µs, drift: -2.5376ms
window: 10ms, time: 358.4µs, drift: -2.1973ms
window: 10ms, time: 316.6µs, drift: -1.7434ms
window: 10ms, time: 216.3µs, drift: -1.8476ms
window: 10ms, time: 348.1µs, drift: -2.0252ms
window: 10ms, time: 368.6µs, drift: -1.9004ms
Midi callback drift: -3µs
Midi callback drift: -834µs
Midi callback drift: -527µs
Midi callback drift: -176µs
Midi callback drift: -843µs
Midi callback drift: -428µs
Message time diff: 2.4228ms
Message time diff: 2.4228ms
Message time diff: 1.4228ms
Message time diff: 422.8µs
Message time diff: 422.8µs
Message time diff: -577.2µs
Message time diff: -577.2µs
Midi callback drift: -831µs
Midi callback drift: -1.21ms
window: 10ms, time: 2.7834ms, drift: -3.9065ms
Midi callback drift: -1.346ms
Message time diff: 7.4228ms
Message time diff: 7.4228ms
window: 10ms, time: 780.6µs, drift: -2.0587ms
window: 10ms, time: 396.5µs, drift: -2.3493ms
window: 10ms, time: 361.6µs, drift: -1.9053ms
window: 10ms, time: 567.4µs, drift: -2.5271ms
window: 10ms, time: 146µs, drift: -1.6918ms
window: 10ms, time: 265.5µs, drift: -1.3932ms
window: 10ms, time: 430.6µs, drift: -1.8139ms
window: 10ms, time: 397.6µs, drift: -2.0628ms
window: 10ms, time: 395.6µs, drift: -1.9824ms
window: 10ms, time: 418.6µs, drift: -2.4497ms
window: 10ms, time: 562.5µs, drift: -1.9446ms
Midi callback drift: -657µs
Midi callback drift: -274µs
Message time diff: 3.4228ms
Message time diff: 2.4228ms
window: 10ms, time: 1.3763ms, drift: -2.512ms
window: 10ms, time: 291µs, drift: -1.7038ms
window: 10ms, time: 270.3µs, drift: -2.1168ms
window: 10ms, time: 304.1µs, drift: -2.0289ms
window: 10ms, time: 275.1µs, drift: -1.8256ms
window: 10ms, time: 279.3µs, drift: -1.6287ms
window: 10ms, time: 240.7µs, drift: -1.3064ms
window: 10ms, time: 288.5µs, drift: -1.7067ms
window: 10ms, time: 364.9µs, drift: -1.7709ms
window: 10ms, time: 336.5µs, drift: -1.6571ms
window: 10ms, time: 385.4µs, drift: -2.1325ms
window: 10ms, time: 383.6µs, drift: -2.0223ms
Midi callback drift: -1.244ms
Midi callback drift: -979µs
Midi callback drift: -1.46ms
Midi callback drift: -1.154ms
Midi callback drift: -1.566ms
Midi callback drift: -215µs
Midi callback drift: -920µs
Message time diff: 3.4228ms
Message time diff: 2.4228ms
Message time diff: 2.4228ms
Message time diff: 1.4228ms
Message time diff: 1.4228ms
Message time diff: -577.2µs
Message time diff: -577.2µs
Message time diff: -1.5772ms
Midi callback drift: -518µs
Midi callback drift: -298µs
window: 10ms, time: 2.4491ms, drift: -3.9511ms
Midi callback drift: -437µs
Message time diff: 6.4228ms
Message time diff: 6.4228ms
window: 10ms, time: 1.0134ms, drift: -2.3519ms
window: 10ms, time: 341.6µs, drift: -1.5375ms
window: 10ms, time: 438.6µs, drift: -1.6272ms
window: 10ms, time: 398.6µs, drift: -1.3851ms
window: 10ms, time: 371.7µs, drift: -1.8635ms
window: 10ms, time: 423.2µs, drift: -2.0576ms
window: 10ms, time: 407µs, drift: -2.2733ms
window: 10ms, time: 430.5µs, drift: -2.2253ms
window: 10ms, time: 413.7µs, drift: -2.1007ms
window: 10ms, time: 343.3µs, drift: -1.8238ms
window: 10ms, time: 397.9µs, drift: -2.2972ms
Midi callback drift: -647µs
Midi callback drift: -217µs
Midi callback drift: -932µs
Message time diff: 3.4228ms
Message time diff: 2.4228ms
Message time diff: 2.4228ms
window: 10ms, time: 1.4251ms, drift: -3.218ms
window: 10ms, time: 337.7µs, drift: -1.893ms
window: 10ms, time: 278.4µs, drift: -1.9293ms
window: 10ms, time: 630.1µs, drift: -1.8944ms
window: 10ms, time: 454.5µs, drift: -2.1907ms
window: 10ms, time: 326.1µs, drift: -1.3775ms
window: 10ms, time: 734.9µs, drift: -2.6201ms
window: 10ms, time: 104.5µs, drift: -858.6µs
window: 10ms, time: 98.9µs, drift: -827.7µs
window: 10ms, time: 141.7µs, drift: -1.112ms
window: 10ms, time: 208µs, drift: -1.6339ms
window: 10ms, time: 356.4µs, drift: -1.8195ms
Midi callback drift: -684µs
Midi callback drift: -163µs
Midi callback drift: -779µs
Midi callback drift: -58µs
Midi callback drift: -652µs
Midi callback drift: -1.116ms
Message time diff: 3.4228ms
Message time diff: 2.4228ms
Message time diff: 2.4228ms
Message time diff: 1.4228ms
Message time diff: 1.4228ms
Message time diff: 1.4228ms
window: 10ms, time: 1.7534ms, drift: -3.2012ms
window: 10ms, time: 522.9µs, drift: -1.9027ms
window: 10ms, time: 315.8µs, drift: -1.7901ms
window: 10ms, time: 359.5µs, drift: -2.1235ms
window: 10ms, time: 354.2µs, drift: -2.3402ms
window: 10ms, time: 384µs, drift: -2.2798ms
window: 10ms, time: 368.8µs, drift: -1.6608ms
window: 10ms, time: 389.4µs, drift: -2.2109ms
window: 10ms, time: 315.6µs, drift: -2.0635ms
window: 10ms, time: 420.7µs, drift: -2.4422ms
window: 10ms, time: 335.9µs, drift: -2.1316ms
window: 10ms, time: 397.1µs, drift: -2.3841ms
Midi callback drift: -118µs
Midi callback drift: -743µs
Midi callback drift: -408µs
Message time diff: 2.4228ms
Message time diff: 2.4228ms
Message time diff: 1.4228ms
window: 10ms, time: 1.8182ms, drift: -3.1261ms
window: 10ms, time: 224.1µs, drift: -1.4696ms
window: 10ms, time: 360.8µs, drift: -2.0972ms
window: 10ms, time: 284.5µs, drift: -1.9274ms
window: 10ms, time: 354µs, drift: -2.2081ms
window: 10ms, time: 372.1µs, drift: -2.1219ms
window: 10ms, time: 310.1µs, drift: -2.0315ms
window: 10ms, time: 306.8µs, drift: -1.7445ms
window: 10ms, time: 364.6µs, drift: -2.0341ms
window: 10ms, time: 307.4µs, drift: -1.7813ms
window: 10ms, time: 90.1µs, drift: -1.1743ms
window: 10ms, time: 101.4µs, drift: -1.0826ms
Midi callback drift: -436µs
Midi callback drift: -615µs
Midi callback drift: -678µs
Message time diff: 3.4228ms
Message time diff: 3.4228ms
Message time diff: 3.4228ms
window: 10ms, time: 230.3µs, drift: -959.1µs
window: 10ms, time: 109.7µs, drift: -894.3µs
window: 10ms, time: 152.4µs, drift: -1.6442ms
window: 10ms, time: 315.1µs, drift: -1.6928ms
window: 10ms, time: 306.3µs, drift: -1.69ms
window: 10ms, time: 417.5µs, drift: -2.4377ms
window: 10ms, time: 342.1µs, drift: -2.174ms
window: 10ms, time: 433.3µs, drift: -1.978ms
window: 10ms, time: 353.1µs, drift: -1.8531ms
window: 10ms, time: 281µs, drift: -1.35ms
window: 10ms, time: 187.2µs, drift: -1.5454ms
window: 10ms, time: 355.3µs, drift: -2.221ms
Midi callback drift: -814µs
Midi callback drift: -1.427ms
Midi callback drift: -1.137ms
Message time diff: 3.4228ms
Message time diff: 3.4228ms
Message time diff: 2.4228ms
window: 10ms, time: 1.7098ms, drift: -3.0479ms
window: 10ms, time: 305.3µs, drift: -1.753ms
window: 10ms, time: 250.9µs, drift: -1.5771ms
window: 10ms, time: 281.4µs, drift: -1.7131ms
window: 10ms, time: 296.4µs, drift: -1.8776ms
window: 10ms, time: 282.8µs, drift: -1.7352ms
window: 10ms, time: 270.4µs, drift: -1.5198ms
window: 10ms, time: 258.9µs, drift: -1.7403ms
window: 10ms, time: 284.6µs, drift: -2.0649ms
window: 10ms, time: 248.8µs, drift: -1.8532ms
window: 10ms, time: 228µs, drift: -1.901ms
window: 10ms, time: 296.9µs, drift: -1.7239ms
Midi callback drift: -560µs
Midi callback drift: -986µs
Midi callback drift: -395µs
Midi callback drift: -1.011ms
Midi callback drift: -615µs
Midi callback drift: -1.028ms
Message time diff: 3.4228ms
Message time diff: 3.4228ms
Message time diff: 2.4228ms
Message time diff: 2.4228ms
Message time diff: 1.4228ms
Message time diff: 1.4228ms
window: 10ms, time: 3.3441ms, drift: -5.1848ms
window: 10ms, time: 345.8µs, drift: -1.7431ms
window: 10ms, time: 262.1µs, drift: -1.5772ms
window: 10ms, time: 232.1µs, drift: -1.5473ms
window: 10ms, time: 241.7µs, drift: -1.7393ms
window: 10ms, time: 281.4µs, drift: -1.6568ms
window: 10ms, time: 307µs, drift: -1.9581ms
window: 10ms, time: 422.9µs, drift: -2.5774ms
window: 10ms, time: 489.6µs, drift: -1.7936ms
window: 10ms, time: 377.7µs, drift: -1.7698ms
window: 10ms, time: 378.5µs, drift: -2.0267ms
window: 10ms, time: 425.9µs, drift: -2.2478ms
Midi callback drift: -522µs
Midi callback drift: -116µs
Message time diff: 3.4228ms
Message time diff: 2.4228ms
window: 10ms, time: 1.1655ms, drift: -2.4771ms
window: 10ms, time: 198µs, drift: -1.9779ms
window: 10ms, time: 234.9µs, drift: -1.5437ms
window: 10ms, time: 216.2µs, drift: -1.633ms
window: 10ms, time: 175.1µs, drift: -1.6639ms
window: 10ms, time: 261.1µs, drift: -1.7665ms
window: 10ms, time: 265.8µs, drift: -1.8416ms
window: 10ms, time: 289.4µs, drift: -1.8803ms
window: 10ms, time: 238.3µs, drift: -1.6533ms
window: 10ms, time: 289.4µs, drift: -1.9583ms
window: 10ms, time: 237.7µs, drift: -1.6474ms
window: 10ms, time: 218.4µs, drift: -2.0457ms
Midi callback drift: -753µs
Midi callback drift: -471µs
Midi callback drift: -42µs
Midi callback drift: -531µs
Midi callback drift: -1.11ms
Midi callback drift: -728µs
Midi callback drift: -286µs
Message time diff: 3.4228ms
Message time diff: 2.4228ms
Message time diff: 1.4228ms
Message time diff: 1.4228ms
Message time diff: 1.4228ms
Message time diff: 422.8µs
Message time diff: -577.2µs
Message time diff: -577.2µs
Midi callback drift: -819µs
window: 10ms, time: 2.2026ms, drift: -3.4848ms
Midi callback drift: 15µs
Midi callback drift: -175µs
Message time diff: 6.4228ms
Message time diff: 6.4228ms
window: 10ms, time: 459.6µs, drift: -1.7226ms
window: 10ms, time: 299.7µs, drift: -1.8739ms
window: 10ms, time: 305.8µs, drift: -1.5652ms
window: 10ms, time: 364.7µs, drift: -1.829ms
window: 10ms, time: 348.5µs, drift: -1.996ms
window: 10ms, time: 308.4µs, drift: -2.0756ms
window: 10ms, time: 315.3µs, drift: -1.7384ms
window: 10ms, time: 214.1µs, drift: -1.6179ms
window: 10ms, time: 201.8µs, drift: -1.1573ms
window: 10ms, time: 193.4µs, drift: -1.3856ms
window: 10ms, time: 379.8µs, drift: -1.9099ms
Midi callback drift: -798µs
Midi callback drift: -1.669ms
Midi callback drift: -1.286ms
Midi callback drift: -1.7ms
Midi callback drift: -1.981ms
Midi callback drift: -2.258ms
Message time diff: 3.4228ms
Message time diff: 3.4228ms
Message time diff: 2.4228ms
Message time diff: 2.4228ms
Message time diff: 2.4228ms
Message time diff: 2.4228ms
window: 10ms, time: 2.5802ms, drift: -3.8613ms
window: 10ms, time: 343.3µs, drift: -1.8734ms
window: 10ms, time: 314.6µs, drift: -1.7381ms
window: 10ms, time: 324.1µs, drift: -1.8265ms
window: 10ms, time: 382.5µs, drift: -1.8111ms
window: 10ms, time: 347.5µs, drift: -1.5899ms
